country,year,month,fx_reserves
canada,2009,7,45311.7830028364
canada,2010,3,56543.6376201878
canada,2010,7,57184.0390319161
canada,2013,7,69624.5692542364
canada,2014,11,73998.3758704909
canada,2015,3,77566.305158607
canada,2017,9,84391.1139907797
canada,2018,1,86747.5186234853
canada,2022,4,105617.449659891
canada,2006,8,35785.1163445995
canada,2008,4,43507.3731819754
canada,2008,7,42559.1101486673
canada,2008,12,43777.5138139077
canada,2009,6,44559.8689331239
canada,2010,2,57221.239015591
canada,2010,10,58800.8366301541
canada,2010,12,56997.9582712186
canada,2012,2,69602.3362005652
canada,2013,1,68711.8766499997
canada,2013,9,71262.0532419019
canada,2016,10,83383.3509703496
canada,2018,8,81238.2242263635
canada,2021,6,89053.334543416
canada,2022,9,102771.151718303
canada,2024,4,119397.810351281
canada,2006,5,35613.0054447953
canada,2007,8,40228.380573019
canada,2008,3,42950.1986587468
canada,2009,12,54237.7922668962
canada,2010,5,55895.5016446132
canada,2011,2,60178.0026789029
canada,2011,8,64295.7438623032
canada,2014,12,74584.1862525789
canada,2015,5,77154.5889594182
canada,2016,6,83521.1187422714
canada,2017,2,82091.1753033735
canada,2018,3,83297.024509248
canada,2018,7,81816.7475579894
canada,2019,7,85259.5291464709
canada,2020,5,87372.0304519567
canada,2020,9,90157.2600395247
canada,2022,1,104402.248779755
canada,2023,4,114028.429834345
canada,2006,7,36321.8375346482
canada,2007,6,39341.2475713
canada,2007,7,40229.9041147071
canada,2008,10,41322.1006252335
canada,2009,4,42528.6838797421
canada,2009,5,44763.0570796967
canada,2010,4,56714.1121505919
canada,2010,11,56420.5768106389
canada,2011,3,60442.640532793
canada,2011,7,63059.8233441159
canada,2012,11,68034.3661721506
canada,2013,8,69789.7550951138
canada,2015,9,78329.008072882
canada,2017,10,83438.6421464722
canada,2018,9,80683.1386907245
canada,2018,11,82008.5913482021
canada,2019,12,85297.1107836887
canada,2020,4,87322.5710057675
canada,2022,2,102889.214424005
canada,2023,1,109601.610377544
canada,2023,3,109654.311053625
canada,2023,11,114926.512045566
canada,2023,12,117550.89924464
canada,2024,6,121269.282208516
china,2008,11,1887930.46422699
china,2009,4,2011977.46006932
china,2009,6,2135201.11130393
china,2009,11,2405300.40024211
china,2009,12,2416043.68706779
china,2010,10,2779799.81969847
china,2011,2,3012155.33058574
china,2011,6,3219760.4399832
china,2012,12,3331120.01377381
china,2014,3,3966050.55065247
china,2015,1,3829024.27032946
china,2016,1,3244925.23018815
china,2017,9,3127808.2178553
china,2017,10,3128204.72403403
china,2018,6,3131516.98954073
china,2018,11,3081044.67262929
china,2019,6,3138278.57135608
china,2020,7,3175529.57847756
china,2020,8,3185741.04735763
china,2023,5,3239253.45951898
china,2024,4,3263670.21269403
china,2008,5,1799217.17869379
china,2008,7,1847384.57503388
china,2010,11,2786104.34116685
china,2012,2,3331301.91309922
china,2012,9,3305307.03321104
china,2013,10,3754808.12510574
china,2015,5,3726293.54468724
china,2016,5,3212599.11548778
china,2016,6,3226017.21413084
china,2017,8,3110825.11074332
china,2018,2,3153325.38410421
china,2021,3,3191634.6298325
china,2022,3,3251625.7770107
china,2023,3,3247256.61966566
china,2024,2,3289057.62056344
china,2006,7,957068.54736347
